category,p_reward,ambiguity,value_reward,SV_reward,value_safe,SV_New_Safe,deltaSV
Neg_Half_maxSV_delta,0.38,0.0,-35.37,-2.63,-2.34,-1.585336805080724,-1.044663194919276
Neg_Half_maxSV_delta,0.25,0.0,-50.00,-2.08,-1.08,-1.042596513291878,-1.037403486708122
MinSVdelta,0.50,0.74,-3.40,-1.82,-12.31,-3.8988739886181767,2.0788739886181764
MinSVdelta,0.50,0.5,-2.23,-1.23,-9.10,-3.3099195802438466,2.0799195802438466
MinSVdelta,0.75,0.0,-1.83,-1.04,-8.19,-3.1261950471438533,2.0861950471438533
MinSVdelta,0.50,0.24,-0.85,-0.59,-6.13,-2.671883646346424,2.0818836463464243
MinSVdelta,0.50,0.0,-0.00,0.00,-3.87,-2.0823310036985356,2.0823310036985356
Neg_Half_minSV_delta,0.50,0.74,-7.84,-2.86,-12.31,-3.8988739886181767,1.0388739886181768
Neg_Half_minSV_delta,0.50,0.5,-6.93,-2.27,-9.10,-3.3099195802438466,1.0399195802438466
Neg_Half_minSV_delta,0.75,0.0,-6.59,-2.08,-8.19,-3.1261950471438533,1.0461950471438533
Neg_Half_minSV_delta,0.50,0.24,-5.59,-1.63,-6.13,-2.671883646346424,1.0418836463464243
Neg_Half_minSV_delta,0.50,0.0,-3.87,-1.04,-3.87,-2.0823310036985356,1.0423310036985356
Neg_Half_minSV_delta,0.38,0.0,-1.92,-0.54,-2.34,-1.585336805080724,1.045336805080724
Neg_Half_minSV_delta,0.25,0.0,-0.00,0.00,-1.08,-1.042596513291878,1.042596513291878
Cent_SE_neg,0.75,0.0,-13.92,-3.13,-8.19,-3.125382234446978,4.440892098500626e-16
Cent_SE_neg,0.50,0.0,-13.92,-2.08,-3.87,-2.083588156297985,0.0
Cent_SE_neg,0.38,0.0,-13.92,-1.58,-2.34,-1.5835269987864686,0.0
Cent_SE_neg,0.25,0.0,-13.92,-1.04,-1.08,-1.0417940781489925,0.0
Cent_SE_neg,0.13,0.0,-13.92,-0.54,-0.32,-0.5417329206374761,0.0
Cent_SE_neg,0.50,0.24,-13.92,-2.67,-6.13,-2.672310252416391,0.0
Cent_SE_neg,0.50,0.5,-13.92,-3.31,-9.10,-3.3100925232113303,0.0
Cent_SE_neg,0.50,0.74,-13.92,-3.90,-12.31,-3.8988146193297366,4.440892098500626e-16
Cent_SE_neg,0.75,0.0,-11.92,-2.87,-8.19,-3.125382234446978,0.2520487798561848
Cent_SE_neg,0.50,0.0,-11.92,-1.92,-3.87,-2.083588156297985,0.16803251990412282
Cent_SE_neg,0.38,0.0,-11.92,-1.46,-2.34,-1.5835269987864686,0.12770471512713333
Cent_SE_neg,0.25,0.0,-11.92,-0.96,-1.08,-1.0417940781489925,0.08401625995206141
Cent_SE_neg,0.13,0.0,-11.92,-0.50,-0.32,-0.5417329206374761,0.04368845517507197
Cent_SE_neg,0.50,0.24,-11.92,-2.46,-6.13,-2.672310252416391,0.2155104521600717
Cent_SE_neg,0.50,0.5,-11.92,-3.04,-9.10,-3.3100925232113303,0.2669448787706825
Cent_SE_neg,0.50,0.74,-11.92,-3.58,-12.31,-3.8988146193297366,0.31442281102663205
Cent_SE_neg,0.75,0.0,-15.92,-3.36,-8.19,-3.125382234446978,-0.23592899524082211
Cent_SE_neg,0.50,0.0,-15.92,-2.24,-3.87,-2.083588156297985,-0.1572859968272149
Cent_SE_neg,0.38,0.0,-15.92,-1.70,-2.34,-1.5835269987864686,-0.11953735758868334
Cent_SE_neg,0.25,0.0,-15.92,-1.12,-1.08,-1.0417940781489925,-0.07864299841360745
Cent_SE_neg,0.13,0.0,-15.92,-0.58,-0.32,-0.5417329206374761,-0.04089435917507589
Cent_SE_neg,0.50,0.24,-15.92,-2.87,-6.13,-2.672310252416391,-0.20172747700279503
Cent_SE_neg,0.50,0.5,-15.92,-3.56,-9.10,-3.3100925232113303,-0.24987241385967396
Cent_SE_neg,0.50,0.74,-15.92,-4.19,-12.31,-3.8988146193297366,-0.29431389403525365
